week,country,region,sub_region,cases,deaths
2020-05-11,France,Lorraine,Moselle,242,
2020-05-11,France,Lorraine,Vosges,52,
2020-05-18,France,Lorraine,Meurthe-et-Moselle,232,
2020-05-18,France,Lorraine,Meuse,86,
2020-05-18,France,Lorraine,Moselle,390,
2020-05-18,France,Lorraine,Vosges,72,
2020-05-25,France,Lorraine,Meurthe-et-Moselle,118,
2020-05-25,France,Lorraine,Meuse,36,
2020-05-25,France,Lorraine,Moselle,178,
2020-05-25,France,Lorraine,Vosges,40,
2020-06-01,France,Lorraine,Meurthe-et-Moselle,336,
2020-06-01,France,Lorraine,Meuse,98,
2020-06-01,France,Lorraine,Moselle,128,
2020-06-01,France,Lorraine,Vosges,20,
2020-06-08,France,Lorraine,Meurthe-et-Moselle,308,
2020-06-08,France,Lorraine,Meuse,62,
2020-06-08,France,Lorraine,Moselle,78,
2020-06-08,France,Lorraine,Vosges,34,
2020-06-15,France,Lorraine,Meurthe-et-Moselle,218,
2020-06-15,France,Lorraine,Meuse,34,
2020-06-15,France,Lorraine,Moselle,64,
2020-06-15,France,Lorraine,Vosges,26,
2020-06-22,France,Lorraine,Meurthe-et-Moselle,80,
2020-06-22,France,Lorraine,Meuse,8,
2020-06-22,France,Lorraine,Moselle,68,
2020-06-22,France,Lorraine,Vosges,16,
2020-06-29,France,Lorraine,Meurthe-et-Moselle,56,
2020-06-29,France,Lorraine,Meuse,8,
2020-06-29,France,Lorraine,Moselle,56,
2020-06-29,France,Lorraine,Vosges,26,
2020-07-06,France,Lorraine,Meurthe-et-Moselle,62,
2020-07-06,France,Lorraine,Meuse,6,
2020-07-06,France,Lorraine,Moselle,38,
2020-07-06,France,Lorraine,Vosges,36,
2020-07-13,France,Lorraine,Meurthe-et-Moselle,116,
2020-07-13,France,Lorraine,Meuse,8,
2020-07-13,France,Lorraine,Moselle,104,
2020-07-13,France,Lorraine,Vosges,150,
2020-07-20,France,Lorraine,Meurthe-et-Moselle,164,
2020-07-20,France,Lorraine,Meuse,6,
2020-07-20,France,Lorraine,Moselle,116,
2020-07-20,France,Lorraine,Vosges,88,
2020-07-27,France,Lorraine,Meurthe-et-Moselle,244,
2020-07-27,France,Lorraine,Meuse,10,
2020-07-27,France,Lorraine,Moselle,176,
2020-07-27,France,Lorraine,Vosges,44,
2020-08-03,France,Lorraine,Meurthe-et-Moselle,303,
2020-08-03,France,Lorraine,Meuse,12,
2020-08-03,France,Lorraine,Moselle,264,
2020-08-03,France,Lorraine,Vosges,26,
2020-08-10,France,Lorraine,Meurthe-et-Moselle,202,
2020-08-10,France,Lorraine,Meuse,36,
2020-08-10,France,Lorraine,Moselle,280,
2020-08-10,France,Lorraine,Vosges,94,
2020-08-17,France,Lorraine,Meurthe-et-Moselle,248,
2020-08-17,France,Lorraine,Meuse,14,
2020-08-17,France,Lorraine,Moselle,406,
2020-08-17,France,Lorraine,Vosges,82,
2020-08-24,France,Lorraine,Meurthe-et-Moselle,472,
2020-08-24,France,Lorraine,Meuse,64,
2020-08-24,France,Lorraine,Moselle,682,
2020-08-24,France,Lorraine,Vosges,116,
2020-08-31,France,Lorraine,Meurthe-et-Moselle,538,
2020-08-31,France,Lorraine,Meuse,38,
2020-08-31,France,Lorraine,Moselle,532,
2020-08-31,France,Lorraine,Vosges,120,
2020-09-07,France,Lorraine,Meurthe-et-Moselle,825,
2020-09-07,France,Lorraine,Meuse,96,
2020-09-07,France,Lorraine,Moselle,616,
2020-09-07,France,Lorraine,Vosges,132,
2020-09-14,France,Lorraine,Meurthe-et-Moselle,768,
2020-09-14,France,Lorraine,Meuse,110,
2020-09-14,France,Lorraine,Moselle,743,
2020-09-14,France,Lorraine,Vosges,140,
2020-09-21,France,Lorraine,Meurthe-et-Moselle,618,
2020-09-21,France,Lorraine,Meuse,90,
2020-09-21,France,Lorraine,Moselle,618,
2020-09-21,France,Lorraine,Vosges,138,
2020-09-28,France,Lorraine,Meurthe-et-Moselle,900,
2020-09-28,France,Lorraine,Meuse,190,
2020-09-28,France,Lorraine,Moselle,762,
2020-09-28,France,Lorraine,Vosges,186,
2020-10-05,France,Lorraine,Meurthe-et-Moselle,1688,
2020-10-05,France,Lorraine,Meuse,190,
2020-10-05,France,Lorraine,Moselle,1580,
2020-10-05,France,Lorraine,Vosges,407,
2020-10-12,France,Lorraine,Meurthe-et-Moselle,2544,
2020-10-12,France,Lorraine,Meuse,342,
2020-10-12,France,Lorraine,Moselle,2912,
2020-10-12,France,Lorraine,Vosges,992,
2020-10-19,France,Lorraine,Meurthe-et-Moselle,4451,
2020-10-19,France,Lorraine,Meuse,690,
2020-10-19,France,Lorraine,Moselle,6638,
2020-10-19,France,Lorraine,Vosges,2088,
2020-10-26,France,Lorraine,Meurthe-et-Moselle,6376,
2020-10-26,France,Lorraine,Meuse,1200,
2020-10-26,France,Lorraine,Moselle,8874,
2020-10-26,France,Lorraine,Vosges,3078,
2020-11-02,France,Lorraine,Meurthe-et-Moselle,5272,
2020-11-02,France,Lorraine,Meuse,1390,
2020-11-02,France,Lorraine,Moselle,9010,
2020-11-02,France,Lorraine,Vosges,3146,
2020-11-09,France,Lorraine,Meurthe-et-Moselle,3297,
